date,yearboutbegan,domainid,siteid,plotid,subplotid,nestedsubplotid,taxonid
2015-07-16T00:00:00.000Z,2015,D01,BART,BART_047,39,NA,ACRU
2015-07-16T00:00:00.000Z,2015,D01,BART,BART_047,39,NA,ACRU
2015-07-16T00:00:00.000Z,2015,D01,BART,BART_047,41,NA,ACRU
2015-07-22T00:00:00.000Z,2015,D01,BART,BART_034,21,NA,ACRU
2015-08-25T00:00:00.000Z,2015,D01,BART,BART_037,41,NA,ACRU
2015-08-25T00:00:00.000Z,2015,D01,BART,BART_037,21,NA,ACRU
2015-07-22T00:00:00.000Z,2015,D01,BART,BART_041,39,NA,ACRU
2015-07-22T00:00:00.000Z,2015,D01,BART,BART_041,39,NA,ACRU
2015-07-22T00:00:00.000Z,2015,D01,BART,BART_041,23,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_070,41,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_070,41,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_070,41,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_070,41,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_070,41,NA,ACRU
2015-07-23T00:00:00.000Z,2015,D01,BART,BART_033,23,NA,ACRU
2015-07-23T00:00:00.000Z,2015,D01,BART,BART_033,23,NA,ACRU
2015-07-23T00:00:00.000Z,2015,D01,BART,BART_033,39,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_040,41,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_040,41,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_040,41,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_040,41,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_040,41,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_040,21,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_040,21,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_040,21,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_040,21,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,39,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_040,21,NA,ACRU
2015-07-29T00:00:00.000Z,2015,D01,BART,BART_040,21,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,23,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,23,NA,ACRU
2015-07-28T00:00:00.000Z,2015,D01,BART,BART_073,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,21,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,21,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,21,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_071,39,NA,ACRU
2015-08-04T00:00:00.000Z,2015,D01,BART,BART_051,39,NA,ACRU
2015-08-04T00:00:00.000Z,2015,D01,BART,BART_051,39,NA,ACRU
2015-08-04T00:00:00.000Z,2015,D01,BART,BART_051,39,NA,ACRU
2015-08-04T00:00:00.000Z,2015,D01,BART,BART_051,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,39,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_032,23,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_050,21,NA,ACRU
2015-08-05T00:00:00.000Z,2015,D01,BART,BART_050,21,NA,ACRU
2015-08-12T00:00:00.000Z,2015,D01,BART,BART_075,23,NA,ACRU
